question,answerability,primary_cause,final_answer,evidence_coverage,answerability_confidence,prompts_used
"On page six, what 20 years is included in the answer to the second to last question?",insufficient_evidence,,Unable to determine,1.0,1,"question_analysis_v1, docel_cot_v3"
From what year to what year did congresswomanpressleylaunchedahistoricat-large serve as senior aide to Senator Kerry?,unanswerable,VALUE_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v3"
Which time is mentioned for the Trump children with the marine band and seated?,unanswerable,VALUE_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v3"
"What is the issue date of the Federal Register, Volume 77 Issue 230 in 2015?",unanswerable,TEMPORAL_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v3"
What type of eye protection should patients use to protect from COVID-19?,insufficient_evidence,,Unable to determine,1.0,1,"question_analysis_v1, docel_cot_v3"
What is the Hollywood zip code?,insufficient_evidence,,Unable to determine,1.0,1,"question_analysis_v1, docel_cot_v3"
What is the number 100 that appears in the address of the image?,unanswerable,VALUE_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v3"
What type of surgical mask should a patient wear to protect from covid-19?,insufficient_evidence,,Unable to determine,1.0,1,"question_analysis_v1, docel_cot_v3"
What is the enrollment percentage of white government?,unanswerable,ENTITY_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v3, docel_cot_v4, docel_cot_v3, docel_cot_v3"
What is the purchase price of the property based on fair market value?,insufficient_evidence,,Unable to determine,1.0,1,"question_analysis_v1, docel_cot_v3"
Which weeks in 2011 had the most people killed in alcohol-impaired driving?,unanswerable,SPATIAL_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, layout_v4"
What type of ppe items should patients use to protect from covid-19?,insufficient_evidence,,Unable to determine,1.0,1,"question_analysis_v1, docel_cot_v3"
What is the reading in tons converted to 4 N.m in the metric conversion chart?,unanswerable,SPATIAL_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, layout_v4"
At what time is the Trump family invocation given and seated?,unanswerable,VALUE_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v3"
How many days of student holidays are in the 1870 calendar?,unanswerable,SPATIAL_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, layout_v4"
What type of surgical mask should patients wear to protect from covid-19?,insufficient_evidence,,Unable to determine,1.0,1,"question_analysis_v1, docel_cot_v3"
"On page six, what event from 20 years is included in the attachment to the second to last question?",insufficient_evidence,,Unable to determine,1.0,1,"question_analysis_v1, docel_cot_v3"
"On page six, what 20 years is included in the answer to the second to last question?",insufficient_evidence,,Unable to determine,1.0,1,"question_analysis_v1, docel_cot_v3"
"If an internee is looking to relocate from Santa Barbara during September 1943, where is the best relocation center in Sacramento?",unanswerable,TEMPORAL_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v3"
"If an internee named Jerome is looking to relocate from Santa Barbara during September 1943, where is the best relocation Center in Marysville?",unanswerable,TEMPORAL_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v3"
At what time are the Trump children's opening remarks and are they seated?,unanswerable,SPATIAL_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, layout_v4"
Which are the holidays in 2010 when most people were killed in alcohol-impaired driving?,unanswerable,TEMPORAL_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v3"
What is the cost for the current state of the experiment on commonhealth?,unanswerable,VALUE_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v4, docel_cot_v3"
What is the highest temperature recorded for an algal bloom?,insufficient_evidence,,Unable to determine,1.0,1,"question_analysis_v1, docel_cot_v3"
Everyday did this document mention shooting?,unanswerable,UNSUPPORTED_PRESUPPOSITION,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v3, docel_cot_v4"
What does the proposal provide enough money for in terms of handwritten signatures?,unanswerable,VALUE_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v3"
What are the fuel cell representations of the key visual elements in the pie chart?,insufficient_evidence,,Unable to determine,1.0,1,"question_analysis_v1, docel_cot_v3"
What is the difference between algal bloom and aquatic plants?,insufficient_evidence,,Unable to determine,1.0,1,"question_analysis_v1, docel_cot_v3"
In the financial summary on page3of8 what were the salaries and wages recorded for year five?,unanswerable,SPATIAL_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, layout_v4"
In what Oakdale and location was this letter filed in district court?,unanswerable,VALUE_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v3"
"What is scheduled in the hour of examination on May 1st, as per the time table?",unanswerable,VALUE_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v3"
What docket number is mentioned in Volume 77 Issue 230 from 2015?,unanswerable,VALUE_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v3"
"What is the issue date of the Federal Register, Volume 77 Issue 2015 Chapter III?",unanswerable,VALUE_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v3"
What is the name of the manned submersibles that were used to locate and photograph the Titanic?,insufficient_evidence,,Unable to determine,1.0,1,"question_analysis_v1, docel_cot_v3"
How many Inspector General jurisdictions and state attorneys general to obtain foreclosure-related documents and records?,unanswerable,VALUE_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v3"
Which weeks in 2010 had the most people killed in alcohol-impaired driving?,unanswerable,SPATIAL_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, layout_v4"
In what city named Oakdale with a white background was this letter filed in district court?,unanswerable,VALUE_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v3"
"On page six, what month is included in the introduction to the section?",unanswerable,SPATIAL_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, layout_v4"
What is the cost for the current state of the experiment with Facebook ads?,insufficient_evidence,,Unable to determine,1.0,1,"question_analysis_v1, docel_cot_v3"
"In the financial summary on page3of8, what were the salaries and wages for year 4?",unanswerable,TEMPORAL_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v3"
"Whose motor vehicle's registration must be current, and whose personal vehicle registration must not be interrupted?",unanswerable,VALUE_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v3"
What are the key visual elements of natural gas in the hexagonal shapes?,insufficient_evidence,,Unable to determine,1.0,1,"question_analysis_v1, docel_cot_v3"
"On sheet number, who are the persons or objects that have been assigned a docket number to the sheet of this report?",unanswerable,SPATIAL_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, layout_v4"
What is the cost for the current state of the experiment with Facebook ads and Mailchimp?,insufficient_evidence,,Unable to determine,1.0,1,"question_analysis_v1, docel_cot_v3"
"What is scheduled in the hour of examination on Friday, June 18th, as per the time table?",answerable,,The examination is scheduled for 9:00 AM.,1.0,3,"question_analysis_v1, docel_cot_v3"
Who are the visitors from the U.S. and Asia since the early 1970s to North Korea?,unanswerable,ENTITY_MISSING,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v3"
From what year to what year did Representative Pressley serve as senior aide to Senator Kerry?,unanswerable,VALUE_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v3"
"What is scheduled in the morning on Tuesday, June 18th, as per the time table?",unanswerable,SPATIAL_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, layout_v4"
At what time does Pence give the invocation and arrange the columns?,unanswerable,UNSUPPORTED_PRESUPPOSITION,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v3, docel_cot_v4"
"In the text of page1of4, what has been suggested for key understandings as word study?",unanswerable,SPATIAL_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, layout_v4"
"In the financial summary on page 1 of 8, what were the salaries and wages for year 5?",unanswerable,TEMPORAL_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v3"
"In the text of page1of4, what has been suggested for text as word study?",insufficient_evidence,,Unable to determine,1.0,1,"question_analysis_v1, docel_cot_v3"
"If an internee is looking to relocate from Santa Barbara during September 1943, where is the best relocation center in Salinas?",unanswerable,TEMPORAL_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v3"
What is the gj26 office number?,unanswerable,VALUE_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v3"
Who are the visitors from South Korea and the Pacific since the early 1970s to North Korea?,unanswerable,ENTITY_MISSING,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v3"
What are the job titles for the 2 William Rich who retired?,unanswerable,VALUE_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v3"
In the federal award information on page 7 what were the salaries and wages recorded for year five?,unanswerable,SPATIAL_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, layout_v4"
How many Inspector General administrative subpoenas were issued to obtain sworn documents and records?,unanswerable,VALUE_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v3"
What are the job titles for the 2 John Frola who retired?,answerable,,John Frola (Retired) - Senior Analyst; John Frola (Retired) - Senior Analyst,1.0,3,"question_analysis_v1, docel_cot_v3"
Is the woman the antagonist in this film?,unanswerable,ENTITY_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v4, docel_cot_v3, docel_cot_v3"
"Since the early 1970s, who are the visitors from South Korea and America to North Korea?",unanswerable,ENTITY_MISSING,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v3"
What is 1 ton. ft. converted to 4 N.m in the metric conversion chart?,answerable,,1 ton. ft. = 4 N.m,1.0,3,"question_analysis_v1, docel_cot_v3"
What day of the week was this newspaper published in the evening?,unanswerable,VALUE_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v3"
How many Inspector General administrative subpoenas were issued to obtain summary memorandums and records?,unanswerable,VALUE_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v3"
How many days of student holidays are there in 2021?,unanswerable,TEMPORAL_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v3"
What is the nissl substance?,answerable,,Nissl substance is a granular material found in the cytoplasm of neurons and other cells that contain rough endoplasmic reticulum.,1.0,3,"question_analysis_v1, docel_cot_v3"
Which character is the main hero in this horror film?,insufficient_evidence,,Unable to determine,1.0,1,"question_analysis_v1, docel_cot_v3"
What is the value 839 of the video still shown in Figure 3?,unanswerable,SPATIAL_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, layout_v4"
Is 73351019f0041 the Denver CO zip code?,unanswerable,ENTITY_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v3, docel_cot_v3"
What is the maximum temperature that bearingsmustnotexceedacertaintemperature can operate under very high pressure?,unanswerable,ENTITY_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v3, docel_cot_v3"
Who prepared table 6?,insufficient_evidence,EXTRACTION_FAILURE,Error: 400 Client Error: Bad Request for url: http://127.0.0.1:11434/api/chat,0.0,1,
What day of the week was this the mystery of published on?,unanswerable,VALUE_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v3"
What is the main ingredient in slaw?,unanswerable,ENTITY_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v3, docel_cot_v3"
Who are the visitors from northkoreasaysit and america since the early 1970s to North Korea?,unanswerable,ENTITY_MISSING,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v3, docel_cot_v4, docel_cot_v3"
"On page six, what month is included in the introduction to the second to last question?",unanswerable,TEMPORAL_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v3"
What is the highest temperature recorded in the document?,unanswerable,VALUE_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v3"
What is the Hollywood zip code?,insufficient_evidence,,Unable to determine,1.0,1,"question_analysis_v1, docel_cot_v3"
What is centi. ft. converted to 4 N.m in the metric conversion chart?,unanswerable,SPATIAL_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, layout_v4"
Which Agency is responsible for the I-15 N/B@ Pomerado Road coordinates?,unanswerable,ENTITY_MISSING,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v3"
What is the middle line of receipts?,unanswerable,SPATIAL_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, layout_v4"
Which Agency is responsible for the inundation area at the I-15 N/B@ Pomerado Road location?,unanswerable,ENTITY_MISSING,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v3"
How many Inspector General administrative subpoenas were issued to obtain memoranda of review and records?,unanswerable,VALUE_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v3"
What is the molecular level?,insufficient_evidence,,Unable to determine,1.0,1,"question_analysis_v1, docel_cot_v3"
Who are the visitors from South Korea and America since the early 1970s according to North Korea?,unanswerable,ENTITY_MISSING,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v3, docel_cot_v4, docel_cot_v3"
In the financial summary on page 7 what were the salaries and wages recorded for year five?,unanswerable,SPATIAL_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, layout_v4"
What are the subdivisions of Hydro in the connections diagram?,answerable,,"Hydro connections diagram subdivisions are: Data Center, Network, and Storage.",1.0,3,"question_analysis_v1, docel_cot_v3"
"From the second paragraph, which month is the entire NHB RF SHIELD scheduled to move?",unanswerable,TEMPORAL_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v3"
What is the name of the cable used for the Titanic research?,insufficient_evidence,,Unable to determine,1.0,1,"question_analysis_v1, docel_cot_v3"
What is the duration of the exterior video still shown in Figure 3?,unanswerable,SPATIAL_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, layout_v4"
What are the temperatures at higher elevations in the image?,insufficient_evidence,,Unable to determine,1.0,1,"question_analysis_v1, docel_cot_v3"
What is the highest temperature recorded?,insufficient_evidence,,Unable to determine,1.0,1,"question_analysis_v1, docel_cot_v3"
What is the renewable resource integration of Hydro in the pie chart?,unanswerable,DOCUMENT_ELEMENT_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v4"
What is the middle line of the columns?,unanswerable,SPATIAL_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, layout_v4"
What is 60 lbs. centi converted to 4 N.m in the metric conversion chart?,unanswerable,SPATIAL_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, layout_v4"
What is the memo number for the Apollo project noted at the bottom?,unanswerable,SPATIAL_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, layout_v4"
What is water?,insufficient_evidence,,Unable to determine,1.0,1,"question_analysis_v1, docel_cot_v3"
What are Lionel Dibden's roles in the council related to gay la rogers?,unanswerable,UNSUPPORTED_PRESUPPOSITION,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v4"
Who are the visitors from South Korea and north since the early 1970s to North Korea?,unanswerable,ENTITY_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v3, docel_cot_v4, docel_cot_v3, docel_cot_v3"
What is provolone made of?,unanswerable,ENTITY_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v3, docel_cot_v3"
How much does the lemon cost?,unanswerable,VALUE_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v3"
What are the job titles for the 2 James Casey who retired?,answerable,,"James Casey (Retired) - Senior Vice President, Global Operations; James Casey (Retired) - Executive Vice President, Global Sales",1.0,3,"question_analysis_v1, docel_cot_v3"
What is the cost of the unused budgeted items mentioned in the document?,unanswerable,VALUE_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v3"
Which marine band announced and seated the Trump children?,unanswerable,UNSUPPORTED_PRESUPPOSITION,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v4"
What are the job titles for Angela Neeley who retired?,unanswerable,VALUE_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v3"
What is the budget for the Council Agenda Office in FY 2020-21?,unanswerable,SPATIAL_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, layout_v4"
What is the next year you will have a day of the week?,unanswerable,VALUE_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v3"
What kind of government did the Netherlands have between 1500s-1700s?,unanswerable,ENTITY_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v3, docel_cot_v3"
"If an internee is looking to relocate from Santa Barbara during September 1943, where is the best relocation center in Marysville?",unanswerable,TEMPORAL_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v3"
What is the extent of ice cover recorded?,unanswerable,VALUE_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v4, docel_cot_v3"
In the table on page1of8 what were the salaries and wages for year five?,unanswerable,TEMPORAL_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v3"
"How many Inspector General administrative subpoenas to obtain foreclosure-related documents and records, including a summary memorandum?",unanswerable,SPATIAL_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, layout_v4"
What type of gloves should patients wear to protect from covid-19?,insufficient_evidence,,Unable to determine,1.0,1,"question_analysis_v1, docel_cot_v3"
How many Inspector General administrative subpoenas to obtain jurisdictions and related records?,unanswerable,VALUE_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v3"
"On page six, what month is included in the attachment to the second to last question?",unanswerable,SPATIAL_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, layout_v4"
What is the main ingredient in Russian dressing?,unanswerable,ENTITY_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v3, docel_cot_v3"
What is the IO number mentioned in the annotations?,insufficient_evidence,,Unable to determine,1.0,1,"question_analysis_v1, docel_cot_v3"
What is the name of the manned submersibles used for researching the Titanic?,insufficient_evidence,,Unable to determine,1.0,1,"question_analysis_v1, docel_cot_v3"
Which character is the main hero in this film?,unanswerable,ENTITY_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v4, docel_cot_v3, docel_cot_v3"
"What is scheduled in the morning on May 1st, as per the time table?",unanswerable,ENTITY_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v4, docel_cot_v3, docel_cot_v3, docel_cot_v3"
What is the duration of the video still shown in the senate chamber?,unanswerable,VALUE_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v3"
What is the cost of building materials?,unanswerable,VALUE_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v4, docel_cot_v3"
Is 202205-7431 the Denver CO zip code?,unanswerable,VALUE_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v3"
What subject is covered by the pink sticky note in the book?,unanswerable,SPATIAL_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, layout_v4"
Is 303844-2035 the Denver CO zip code?,unanswerable,ENTITY_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v3, docel_cot_v3, docel_cot_v3"
What is the duration of the video still shown in the exterior plaza of Figure 3?,insufficient_evidence,,Unable to determine,1.0,1,"question_analysis_v1, docel_cot_v3"
"On page six, what month is included in the testimony to the second to last question?",unanswerable,SPATIAL_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, layout_v4"
"In the lesson preparation table of page 1, what has been suggested for vocabulary of header titles?",answerable,,The lesson preparation table on page 1 suggests using a glossary.,1.0,3,"question_analysis_v1, docel_cot_v3"
What are the subdivisions of fuel cell in the pie chart?,answerable,,"The subdivisions of fuel cell in the pie chart are: Alkaline, PEM, and Solid Oxide.",1.0,3,"question_analysis_v1, docel_cot_v3"
What kind of government did China have between 1500s-1700s?,unanswerable,ENTITY_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v3, docel_cot_v3"
How many days of the month have the 2020-2021?,unanswerable,VALUE_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v3"
What are the subdivisions of Hydro in the hexagonal shapes?,insufficient_evidence,,Unable to determine,1.0,1,"question_analysis_v1, docel_cot_v3"
What is the 1f temperature in the image?,insufficient_evidence,,Unable to determine,1.0,1,"question_analysis_v1, docel_cot_v3"
What is the highest temperature recorded for algae?,insufficient_evidence,,Unable to determine,1.0,1,"question_analysis_v1, docel_cot_v3"
What is 60 kilograms. ft. converted to 4 N.m in the metric conversion chart?,insufficient_evidence,,Unable to determine,1.0,1,"question_analysis_v1, docel_cot_v3"
What is the highest temperature recorded for aquatic plants?,insufficient_evidence,,Unable to determine,1.0,1,"question_analysis_v1, docel_cot_v3"
Whose personal vehicle's registration for restraints must be current?,unanswerable,VALUE_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v3"
Which character is the main hero in this horror film?,insufficient_evidence,,Unable to determine,1.0,1,"question_analysis_v1, docel_cot_v3"
What is the highest temperature recorded for algae?,insufficient_evidence,,Unable to determine,1.0,1,"question_analysis_v1, docel_cot_v3"
What is the highest electrical current recorded?,unanswerable,VALUE_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v3"
How many Inspector General administrative subpoenas were issued to obtain foreclosure-related documents and memorandum of review?,unanswerable,VALUE_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v3"
How many days of student holidays were there in 1870?,unanswerable,VALUE_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v3"
"If an internee is looking to relocate from Santa Barbara during September 1943, where is the best relocation center in Pomona?",unanswerable,TEMPORAL_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v3"
what other wikis in africa have?,unanswerable,ENTITY_MISSING,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v3"
Who is the main character in this film?,unanswerable,ENTITY_MISSING,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v3"
Everyday was this document published?,unanswerable,TEMPORAL_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v3, docel_cot_v3"
In the award action type on page 7 what were the salaries and wages recorded for year five?,unanswerable,SPATIAL_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, layout_v4"
Whose personal vehicle's car seats must be registered current?,unanswerable,VALUE_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v3"
What is kg. ft. converted to 4 N.m in the metric conversion chart?,insufficient_evidence,,Unable to determine,1.0,1,"question_analysis_v1, docel_cot_v3"
"What is the duration of the video still shown in Figure 3, measured in 24 hours a day?",unanswerable,SPATIAL_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, layout_v4"
What is the middle line of the table?,unanswerable,SPATIAL_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, layout_v4"
What title is this scroll associated with?,unanswerable,ENTITY_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v3, docel_cot_v3"
How many Inspector General administrative subpoenas to obtain foreclosure-related documents and sworn documents?,unanswerable,SPATIAL_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, layout_v4"
How many days of important dates are there in 2020-2021?,unanswerable,VALUE_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v3"
What kind of government did Russia have between 1500s-1700s?,unanswerable,ENTITY_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v3, docel_cot_v3"
How many Inspector General sworn documents were obtained to obtain foreclosure-related documents and records?,unanswerable,VALUE_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v3"
How many Inspector General administrative subpoenas to obtain foreclosure-related documents and records from jurisdictions?,unanswerable,SPATIAL_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, layout_v4"
What is the fair market value of the property?,unanswerable,VALUE_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v3"
What is the highest temperature recorded for aquatic plants?,insufficient_evidence,,Unable to determine,1.0,1,"question_analysis_v1, docel_cot_v3"
Who are the visitors from South Korea and Asia since the early 1970s to North Korea?,unanswerable,ENTITY_MISSING,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v3"
What type of gloves should a patient wear to protect from covid-19?,insufficient_evidence,,Unable to determine,1.0,1,"question_analysis_v1, docel_cot_v3"
Whose car seats must have current automobile registration?,unanswerable,VALUE_MISMATCH,Unable to determine,1.0,3,"question_analysis_v1, docel_cot_v3"
